paper_id,doi,title,year,venue,licence,n_chars
6g-wireless-communication-systems-applications-requirements-technologies-challenges-and-research-directions,10.1109/ojcoms.2020.3010270,"6G Wireless Communication Systems: Applications, Requirements, Technologies, Challenges, and Research Directions",2020,IEEE Open Journal of the Communications Society,CC-BY-4.0,66670
6g-wireless-communications-networks-a-comprehensive-survey,10.1109/access.2021.3124812,6G Wireless Communications Networks: A Comprehensive Survey,2021,IEEE Access,CC-BY-4.0,191689
a-vlc-channel-model-for-underground-mining-environments-with-scattering-and-shadowing,10.1109/access.2020.3030615,A VLC Channel Model for Underground Mining Environments With Scattering and Shadowing,2020,IEEE Access,CC-BY-4.0,76427
applsci-14-02514-v3,10.3390/app14062514,Performance Analysis of the Particle Swarm Optimization Algorithm in a VLC System for Localization in Hospital Environments,2024,Applied Sciences,CC-BY-4.0,46672
applsci-14-08912,10.3390/app14198912,Comprehensive Survey on VLC in E-Healthcare: Channel Coding Schemes and Modulation Techniques,2024,Applied Sciences,CC-BY-4.0,61758
applsci-15-01617-v2,10.3390/app15031617,Intelligent Reflective Surface-Assisted Visible Light Communication with Angle Diversity Receivers and RNN: Optimizing Non-Line-of-Sight Indoor Environments,2025,Applied Sciences,CC-BY-4.0,60498
applsci-15-02364,10.3390/app15052364,Statistical Modeling of Wall Roughness and Its Influence on NLOS VLC Channels in Underground Mining,2025,Applied Sciences,CC-BY-4.0,51942
channel-modeling-and-characterization-for-vlc-based-medical-body-sensor-networks-trends-and-challenges,10.1109/access.2021.3127941,Channel Modeling and Characterization for VLC-Based Medical Body Sensor Networks: Trends and Challenges,2021,IEEE Access,CC-BY-4.0,54691
deep-q-network-learning-based-downlink-resource-allocation-for-hybrid-rf-vlc-systems,10.1109/access.2020.3014427,Deep Q-Network Learning Based Downlink Resource Allocation for Hybrid RF/VLC Systems,2020,IEEE Access,CC-BY-4.0,84875
electronics-09-01339-v3,10.3390/electronics9091339,"Optical Camera Communications: Principles, Modulations, Potential and Challenges",2020,Electronics,CC-BY-4.0,148935
electronics-12-00577-v4,10.3390/electronics12030577,A Wavelength-Dependent Visible Light Communication Channel Model for Underground Environments and Its Performance Using a Color-Shift Keying Modulation Scheme,2023,Electronics,CC-BY-4.0,66098
electronics-12-05036,10.3390/electronics12245036,Multi-Wavelength Path Loss Model for Indoor VLC with Mobile Human Blockage,2023,Electronics,CC-BY-4.0,45846
energies-15-02814,10.3390/en15082814,Simultaneous Lightwave and Power Transfer for Internet of Things Devices,2022,Energies,CC-BY-4.0,19371
enhanced-visible-light-communication-for-real-time-audio-with-interference-resilient-protocols,10.1109/access.2025.3538588,Enhanced Visible Light Communication for Real-Time Audio With Interference-Resilient Protocols,2025,IEEE Access,CC-BY-4.0,66147
entropy-24-01507-v2,10.3390/e24111507,A Novel and Adaptive Angle Diversity-Based Receiver for 6G Underground Mining VLC Systems,2022,Entropy,CC-BY-4.0,43260
hybrid-rf-vlc-systems-a-comprehensive-survey-on-network-topologies-performance-analyses-applications-and-future-directions,10.1109/access.2021.3129154,"Hybrid RF/VLC Systems: A Comprehensive Survey on Network Topologies, Performance Analyses, Applications, and Future Directions",2021,IEEE Access,CC-BY-4.0,105876
optimization-of-a-color-based-spatial-modulation-scheme-for-vlc-under-illuminance-and-sinr-constraints,10.1109/access.2022.3221747,Optimization of a Color-Based Spatial Modulation Scheme for VLC Under Illuminance and SINR Constraints,2022,IEEE Access,CC-BY-4.0,44805
performance-analysis-of-positioning-by-deep-reinforcement-learning-in-vlc-based-empty-office-environment,10.1109/access.2025.3605950,Performance Analysis of Positioning by Deep Reinforcement Learning in VLC-Based Empty Office Environment,2025,IEEE Access,CC-BY-4.0,45273
